"Address","Name","Is delegator","Avatar","Space","Ens name","Follow Count","Follows Space","Total Votes","Proposal Interaction","Proposal Interaction In Space","Proposal Interaction outside of Space","Total NFT`s","Total Rewards NFT`s","User is delegator"
"0x225D7280ecdB9F1F993bfF2F887228974c72093A","","0","","aave.eth","","0","0","2079.3772955718","37","2","35","6","0","0"
"0x16c6deb8E01B5FEeD33B13f964085E87825cB1B7","","0","","aave.eth","","2","1","2068.3565692157","69","69","0","0","0","0"
"0x7f1f9FAF46ec6BF268e28e89bc5a214A217Fe160","","0","","aave.eth","","1","1","2055.5676111098","4","4","0","0","0","0"
"0xf09D1acBF092EC47970a2aA9e16Bc658b2ECf15e","","0","","aave.eth","","0","0","2034.0501309716","89","2","87","0","0","0"
"0x986fcF5d763cC15598f02571E80FBCc95B4FD39F","","0","","aave.eth","","8","1","2009.0817263618","67","24","43","23","1","0"
"0xc36E65d5d266Ab83A64096B6Bdf882b3d37667d7","","0","","aave.eth","","0","0","2000.0180889488","4","4","0","0","0","0"
"0x7AF3EDC58487baD40A21b93D90f14453282d8Df3","","0","","aave.eth","tosphan.eth","14","1","2175.2071410263","324","69","255","5","0","0"
"0xa542cDa22ED5286E554039c5F066794C8266f8A0","","0","","aave.eth","","12","1","1949.18859681","72","29","43","3","0","0"
"0x8a1034e56b0EE90d9b2A2d4D63B07bcAC9457283","","0","","aave.eth","victormahu.argent.xyz","0","0","1948.491701468","6","1","5","0","0","0"
"0xaC9e6fA8Ad5214F365E99eE96227598eA1E4B20c","","0","","aave.eth","","0","0","1927.5151019582","14","1","13","0","0","0"
"0x50db4821A42c72Ef26c478D4764354e56FE1207C","","0","","aave.eth","","0","0","1900","1","1","0","0","0","0"
"0xFDBef1E156DfA8A4BA8B6cd19a653B34366028Bf","","0","","aave.eth","","0","0","1888","1","1","0","0","0","0"
